homelat,homelon,homecontinent,country,n
34.341972,36.478027,Middle East & North Africa,Lebanon,18
34.342004,61.501569,South Asia,Afghanistan,2
34.342222,71.703611,South Asia,Pakistan,1
34.3425,61.746667,South Asia,Afghanistan,0
34.342749,45.385068,Middle East & North Africa,Iraq,3
34.343163,61.495274,South Asia,Afghanistan,10
34.343164,61.935658,South Asia,Afghanistan,1
34.343224,71.212349,South Asia,Pakistan,0
34.343333,71.236667,South Asia,Pakistan,1
34.343436,45.27719,Middle East & North Africa,Iraq,1
34.34354,74.400425,South Asia,India,0
34.343559,67.921173,South Asia,Afghanistan,1
34.34401,63.739066,South Asia,Afghanistan,0
34.344209,68.23545,South Asia,Afghanistan,0
34.344282,74.202524,South Asia,India,2
34.344291,44.468521,Middle East & North Africa,Iraq,0
34.34443,61.492532,South Asia,Afghanistan,1
34.344465,62.203294,South Asia,Afghanistan,0
34.344528,71.367317,South Asia,Pakistan,5
34.344566,72.004592,South Asia,Pakistan,0
34.344668,74.67834,South Asia,India,0
34.344722,61.493056,South Asia,Afghanistan,1
34.34473,71.787491,South Asia,Pakistan,2
34.345615,61.493449,South Asia,Afghanistan,1
34.345856,71.370506,South Asia,Pakistan,8
34.346205,62.204717,South Asia,Afghanistan,2
34.346722,62.197315,South Asia,Afghanistan,199
34.346912,74.478402,South Asia,India,0
34.346947,63.615452,South Asia,Afghanistan,4
34.347091,62.263785,South Asia,Afghanistan,2
34.347122,68.241837,South Asia,Afghanistan,26
34.347173,71.013321,South Asia,Afghanistan,2
34.347222,63.739444,South Asia,Afghanistan,4
34.347343,45.383274,Middle East & North Africa,Iraq,228
34.347915,43.946574,Middle East & North Africa,Iraq,0
34.34833,71.29278,South Asia,Pakistan,0
34.348514,72.038483,South Asia,Pakistan,0
34.348889,63.177778,South Asia,Afghanistan,21
34.349105,68.23873,South Asia,Afghanistan,1
34.349672,67.925448,South Asia,Afghanistan,4
34.349788,63.140927,South Asia,Afghanistan,0
34.349995,72.283323,South Asia,Pakistan,0
34.35,68.716667,South Asia,Afghanistan,3
34.35005,68.240152,South Asia,Afghanistan,3
34.350239,68.235655,South Asia,Afghanistan,1
34.350239,68.238401,South Asia,Afghanistan,0
34.350854,72.056186,South Asia,Pakistan,3
34.351259,72.422501,South Asia,Pakistan,0
34.351349,68.238534,South Asia,Afghanistan,40
34.351646,41.093565,Middle East & North Africa,Iraq,1
34.351851,70.957542,South Asia,Afghanistan,9
34.352019,70.954954,South Asia,Afghanistan,5
34.352507,68.241148,South Asia,Afghanistan,0
34.352695,44.927653,Middle East & North Africa,Iraq,1
34.352865,62.204029,South Asia,Afghanistan,2
34.353012,36.511322,Middle East & North Africa,Lebanon,0
34.353209,44.681446,Middle East & North Africa,Iraq,6
34.353333,74.343333,South Asia,India,0
34.353756,67.91022,South Asia,Afghanistan,3
34.354216,70.95468,South Asia,Afghanistan,2
34.354238,70.95468,South Asia,Afghanistan,5
34.354724,3.869348,Middle East & North Africa,Algeria,4
34.355177,35.732009,Middle East & North Africa,Lebanon,3
34.355309,74.342304,South Asia,India,1
34.355387,61.90249,South Asia,Afghanistan,0
34.355737,45.383437,Middle East & North Africa,Iraq,4
34.355833,69.555,South Asia,Afghanistan,0
34.355908,69.215813,South Asia,Afghanistan,2
34.356389,68.739444,South Asia,Afghanistan,4
34.356659,72.075523,South Asia,Pakistan,0
34.356813,74.664196,South Asia,India,7
34.356944,45.243333,Middle East & North Africa,Iraq,1
34.357222,70.238889,South Asia,Afghanistan,2
34.357292,45.198143,Middle East & North Africa,Iraq,0
34.357397,70.225507,South Asia,Afghanistan,1
34.357464,70.226135,South Asia,Afghanistan,1
34.358317,70.223408,South Asia,Afghanistan,3
34.358352,74.433482,South Asia,India,1
34.359074,71.348511,South Asia,Pakistan,0
34.359425,68.841617,South Asia,Afghanistan,1
34.35946,73.468877,South Asia,Pakistan,10
34.359687,73.471054,South Asia,Pakistan,11
34.359732,68.839041,South Asia,Afghanistan,2
34.360031,63.907029,South Asia,Afghanistan,0
34.360187,74.474544,South Asia,India,0
34.360379,68.718186,South Asia,Afghanistan,1
34.360769,74.473811,South Asia,India,1
34.360867,68.840038,South Asia,Afghanistan,3
34.360943,68.840042,South Asia,Afghanistan,1
34.360982,68.795279,South Asia,Afghanistan,4
34.361059,68.840693,South Asia,Afghanistan,27
34.361133,68.840647,South Asia,Afghanistan,2
34.361565,61.744975,South Asia,Afghanistan,1
34.36173,70.47034,South Asia,Afghanistan,0
34.361907,44.500208,Middle East & North Africa,Iraq,2
34.362002,63.255862,South Asia,Afghanistan,1
34.362271,68.842057,South Asia,Afghanistan,1
34.36309,74.46353,South Asia,India,0
34.363169,68.721605,South Asia,Afghanistan,0
34.363503,41.115997,Middle East & North Africa,Iraq,483
34.363979,44.503483,Middle East & North Africa,Iraq,0
34.364525,74.389854,South Asia,India,1
34.365089,43.74522,Middle East & North Africa,Iraq,45
